	(1)	(2)	(3)
	est1	est2	est3
VARIABLES	price	price	price
			
weight	2.044***	1.747***	3.465***
	(0.377)	(0.641)	(0.631)
mpg		-49.51	21.85
		(86.16)	(74.22)
foreign			3,673***
			(684.0)
Constant	-6.707	1,946	-5,854*
	(1,174)	(3,597)	(3,377)
			
Observations	74	74	74
R-squared	0.290	0.293	0.500
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
