	(1)	(2)	(3)
VARIABLES	model1	model2	model2-robust
			
mpg	-238.894***	-294.196***	-294.196***
	(53.077)	(55.692)	(60.336)
foreign		1,767.292**	1,767.292***
		(700.158)	(607.738)
Constant	11,253.061***	11,905.415***	11,905.415***
	(1,170.813)	(1,158.634)	(1,362.547)
			
Observations	74	74	74
R-squared	0.220	0.284	0.284
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
